"","alabama","alaska","arizona","arkansas","california","colorado","connecticut","delaware","florida","georgia","hawaii","idaho","illinois","indiana","iowa","kansas","kentucky","louisiana","maine","maryland","massachusetts","michigan","minnesota","mississippi","missouri","montana","nebraska","nevada","new hampshire","new jersey","new mexico","new york","north carolina","north dakota","ohio","oklahoma","oregon","pennsylvania","rhode island","south carolina","south dakota","tennessee","texas","utah","vermont","virginia","washington","west virginia","wisconsin","wyoming"
"2021-02-01",0.0165533219733704,0.022103903382567,0.0238730259742205,0.0213390266564694,0.0199330976644873,0.0150262574981732,0.0210120531671083,0.0301418002719345,0.0139338236612172,0.0236710923168456,0.0243305892058039,0.0138478454896716,0.0188486721837374,0.0130068555404986,0.0103211656159768,0.018252066203643,0.016065186507607,0.0169521385546445,0.0201456317902236,0.0214392756480661,0.0168982153507949,0.0194982265191141,0.0268763990274543,0.0164003885558149,0.0158191672472573,0.0162830821742214,0.012159275602665,0.0244341520364553,0,0.0160615794077812,0,0.0152062648067364,0.0218745387622754,0.0178345069036378,0.0184974035640041,0.0197097729551215,0.0202788841504342,0.0203648823632015,0.011354014353936,0.0235245150536619,0.0148102263131896,0.0126237814412109,0.0158358354415926,0.0154063153665769,0,0.0354318231849756,0,0.0158597481121805,0.0280171488418761,0.0206303487289183
"2021-02-08",0.0156808278700477,0.0184458919136895,0.0211965927511675,0.0181128396675198,0.0240418768642807,0.0146801311954568,0.0137742066767696,0.0166919294613479,0.0131259638759894,0.0129781963099709,0.0236702187768386,0.0270191627053297,0.0248261871754659,0.0144855656062288,0.0184908734196072,0.0170046895048045,0.0194530799366919,0.0128418252131628,0.016631305181028,0.0150533934975057,0.0210845029737383,0.0144077360875399,0.0204954862303072,0.0182356461319645,0.022044902196816,0.0203391162617494,0.0159449299217125,0.02480387357004,0.0253947346164001,0.0212256211587458,0.0293743552764675,0.0131801062026639,0.0171902704059197,0.0210560295618992,0.018307483039755,0.0178998026520791,0.0165569830456475,0.0162778611979748,0.0153469874764127,0.0158049174997873,0.0175920891552564,0.0155273536741047,0.0179766567534196,0,0,0.0209636930103489,0,0.0141255153734599,0.0285624534344228,0.0183496066583846
"2021-02-15",0.0158221645726196,0.0186738341455413,0.021795427683203,0.0193167780279965,0.0245094157319369,0.0163392192314425,0,0,0.0162608262686148,0,0.0230885984043755,0.0254687154636233,0.0255849573632708,0.0159274378923205,0.0218559334658185,0.0192030450545324,0.0231904841737522,0.0164833072835664,0.0234481242542099,0.0196516355480277,0.0232292487455815,0.0176998629298487,0.023726282140395,0,0.0231278884249233,0.0218377904485309,0.0197641862523315,0.0251735951036246,0.0253947346164001,0.0159295173825374,0.0293743552764675,0.0200655036885021,0.0182231091970659,0.0234223068464246,0.0205669812047121,0.0206460320280336,0.0189198022541472,0,0.0215422315905532,0.0175836626388648,0.0207800406710382,0.0173151980019838,0.0146755327075594,0,0,0.021925731756909,0.0159044257089364,0.0169808894024876,0.0291219273589018,0.0202173961873595
"2021-02-22",0.0159635012751915,0.0189017763773931,0.0223942626152384,0.0205207163884732,0.0249769545995931,0.0179983072674281,0,0,0.0193956886612402,0,0.0225069780319125,0.0239182682219169,0.0263437275510757,0.0173693101784122,0.0252209935120298,0.0214014006042603,0.0269278884108125,0.0201247893539701,0.0302649433273918,0.0242498775985497,0.0253739945174247,0.0209919897721575,0.0269570780504827,0,0.0242108746530306,0.0233364646353125,0.0235834425829504,0.0255433166372093,0.0142434679134022,0.0211462206955717,0.0217881381838958,0.0269509011743403,0.0192559479882121,0.02578858413095,0.0228264793696692,0.023392261403988,0.0212826214626469,0,0.0277374757046937,0.0193624077779422,0.02396799218682,0.019103042329863,0.0113744086616992,0,0.0347409970368067,0.0228877705034691,0.0159044257089364,0.0198362634315154,0.0296814012833808,0.0220851857163344
"2021-03-01",0.0161048379777634,0.0191297186092448,0.0229930975472738,0.0217246547489499,0.0254444934672494,0.0196573953034138,0,0,0.0225305510538657,0.00677273571939255,0.0219253576594494,0.0223678209802106,0.0271024977388806,0.0188111824645039,0.0285860535582412,0.0235997561539882,0.0306652926478728,0.0237662714243737,0.0370817624005737,0.0288481196490717,0.0275187402892679,0.0242841166144664,0.0301878739605705,0,0.0252938608811378,0.024835138822094,0.0274026989135694,0.0259130381707939,0.0145045528057065,0.026362924008606,0.0185356078154203,0.0338362986601785,0.0202887867793584,0.0281548614154754,0.0250859775346263,0.0261384907799425,0.0236454406711466,0,0.0339327198188342,0.0211411529170197,0.0271559437026018,0.0208908866577422,0.00807328461583906,0.0111018297806771,0.0347409970368067,0.0238498092500292,0.0233875906069855,0.0226916374605431,0.0302408752078598,0.0239529752453094
"2021-03-08",0.0162461746803353,0.0193576608410966,0.0235919324793092,0.0229285931094266,0.0259120323349056,0.0213164833393995,0.0480502691648667,0.0275693083745137,0.0256654134464911,0.0142701293901543,0.0213437372869864,0.0208173737385042,0.0278612679266855,0.0202530547505956,0.0319511136044525,0.0257981117037161,0.0344026968849332,0.0274077534947774,0.0438985814737556,0.0334463616995938,0.0337759736919955,0.0275762434567752,0.0334186698706582,0.0282593378221319,0.0263768471092451,0.0263338130088756,0.0312219552441884,0.0262827597043786,0.0205475035994168,0.0315796273216403,0.022350058111558,0.0407216961460167,0.0213216255705046,0.0305211387000008,0.0273454756995834,0.028884720155897,0.0260082598796464,0.0260117392695776,0.0401279639329747,0.0229198980560971,0.0303438952183836,0.0226787309856214,0.0301240372727423,0.0284407967914739,0.0170051074618303,0.0248118479965893,0.0196088113122535,0.0255470114895709,0.0308003491323388,0.0258207647742843
"2021-03-15",0.0247461598940281,0.031475849059183,0.0293147817122166,0.0266309541640213,0.0245390394764678,0.0320197001564232,0.0193030743387559,0.0367008844032024,0.029603258481096,0.0261805524749273,0.0373571904804954,0.0248256218995951,0.0326708371275131,0.0246223422024744,0.0328027587343545,0.0373732457263446,0.039693370575689,0.0284353318301478,0.0474553121085067,0.0373916581757553,0.0374827548134546,0.0267475543106305,0.0357312321087617,0.0292710479213238,0.0290506055631121,0.0310728701376712,0.0376823296843272,0.0326733451162863,0.0265904543931272,0.0367963306346746,0.0261645084076956,0.0387155338809177,0.0376725625004529,0.03403791292572,0.0341559230394128,0.0347033122052196,0.0303295345347517,0.0448178794716977,0.0399165157108861,0.0327751745387295,0.0352508706744633,0.0295514508782468,0.0380280909554016,0.0403411398402599,0.0145146789446609,0.0377242438333275,0.0227380410991986,0.0306542934257067,0.033681274875765,0.024989676186461
"2021-03-22",0.0242054909206975,0.0346636228803423,0.0281735091500329,0.0303333152186159,0.0451297817386787,0.0341142570175122,0.0355822686925344,0.0443351777227336,0.0335411035157009,0.031383321546104,0.0399372259639289,0.0309233295934955,0.0390817547059732,0.0254419827994306,0.0303188201846552,0.0377714177050603,0.0394930425749602,0.0289675128646268,0.035318089706088,0.0384711066414365,0.0372590334744867,0.038654603745703,0.0320818805198637,0.0208487545482434,0.0297052771942905,0.0301091526958826,0.036688227095835,0.0332749380226196,0.0326334051868375,0.0431503942158409,0.0299789587038333,0.0390324424407439,0.0396488052536574,0.0289412147568046,0.0363270055008512,0.0317823911269504,0.031229780330068,0.0270962582454961,0.0317276169313388,0.0305532604840743,0.0278288018321184,0.0281783712056539,0.0303930065101316,0.0261310347796197,0,0.0341084121539651,0.0258672708861438,0.0308071826697252,0.0384806422880878,0.00952555381428194
"2021-03-29",0.0287441734301276,0.0217361884778107,0.0371050282625358,0.0300662335923738,0.0438336005544411,0.0410161188149622,0.0409812730363643,0.04010109225644,0.0340623409253964,0.0365860906172807,0.0345115942684084,0.029411912829136,0.0413794513038023,0.027353982394215,0.0346626223823877,0.0381695896837759,0.0323862108977089,0.0254717675164785,0.0398754065578941,0.0406835955591431,0.0414164491477189,0.0336843713692907,0.0334748792119769,0.0225025695958099,0.0255756971812948,0.0307351012090443,0.0328369196157171,0.0324795237643808,0.0337145172760976,0.0395472287802895,0.0337934089999709,0.0400625366224724,0.0310242557172502,0.0218394303875538,0.0391758989143732,0.0303891537238964,0.032814753504071,0.059526218933636,0.0365923419872923,0.0348488962486555,0.0391280708159867,0.0317271166322604,0.0283047099000027,0.0274304903557689,0,0.0408013853639128,0.0289965006730889,0.0284201016992468,0.0427534258009623,0.0376806235410594
"2021-04-05",0.0273505894637873,0.0162136300569343,0.0321283270114774,0.0297991519661317,0.0437021728693928,0.0423907260204323,0.0448205151506737,0.0489204776516692,0.033222727329234,0.0323823398577979,0.0288472404285133,0.0290873583221651,0.042449936753368,0.0281782277136261,0.0346819563432824,0.0459833715143647,0.0289613854908361,0.0209097241133937,0.0491983407379193,0.040749923912612,0.0485961340894592,0.0370624111269441,0.0419474178457034,0.0163449477831923,0.0334553822871731,0.0348687940807165,0.0341339572623769,0.0266080679030543,0.0397893375871785,0.0392746608662954,0.0344744373527837,0.0426605185549319,0.0274080566097678,0.0347268332497881,0.03706675449778,0.0286193656713683,0.0371945903691956,0.0416767269523509,0.0414570670432459,0.0236657153611562,0.034884627862261,0.0293906700868948,0.0358737849696652,0.041414765882772,0,0.0494747888206915,0.032125730460034,0.0248986271773465,0.040405782186625,0.0199893219803061
