"","alabama","alaska","arizona","arkansas","california","colorado","connecticut","delaware","florida","georgia","hawaii","idaho","illinois","indiana","iowa","kansas","kentucky","louisiana","maine","maryland","massachusetts","michigan","minnesota","mississippi","missouri","montana","nebraska","nevada","new hampshire","new jersey","new mexico","new york","north carolina","north dakota","ohio","oklahoma","oregon","pennsylvania","rhode island","south carolina","south dakota","tennessee","texas","utah","vermont","virginia","washington","west virginia","wisconsin","wyoming"
"2021-03-22",0.0242739981433103,0.0356094670235384,0.028249684189065,0.0303862983487035,0.0453087613442588,0.0343285055641518,0.0356513156822399,0.0444914380879358,0.0336474739487765,0.0349670928992803,0.0412567151786568,0.0309846377603056,0.0391674098981589,0.0254527200801144,0.0303361368789025,0.0411859089676244,0.0396419859681902,0.0290671044662203,0.0353540430950705,0.0386954510085384,0.0372857136427341,0.0386689649397164,0.0320940474615139,0.0209476880030438,0.029796894921466,0.0302098070158475,0.0368139275641754,0.033392314737195,0.0327626644758636,0.0395890990844374,0.0411337375202261,0.0390825553872414,0.0400207495036384,0.0292162932995269,0.0363542468494713,0.0319393203199265,0.0312487396736271,0.0271096034155884,0.0318608817646669,0.0308014566028603,0.0279381658564043,0.0282636151430762,0.0305136567581328,0.0261705278152647,0.0413078244577867,0.0345753638493136,0.0373074480420284,0.0308238833034833,0.0385004928316028,0.0095767503669669
"2021-03-29",0.0288255261898982,0.0223292899732346,0.0302324396033112,0.0303066314096202,0.0440074396521752,0.0412737132817094,0.0410607967328971,0.0402424294889235,0.0341703643824692,0.0368045240619347,0.0356518256019857,0.029470224481912,0.0414701423405951,0.0273655265961391,0.0346824200536015,0.0384698413049856,0.0325083517060757,0.0255593405896048,0.0399159992404187,0.0409208420616212,0.0414461063268894,0.0336968859922742,0.0334875744435382,0.0226093508880376,0.025654578358917,0.030837848062883,0.0329494248115601,0.0325940946702032,0.0216547924552748,0.0393162425913996,0.0415845392279014,0.0401139720856096,0.0313152933273407,0.0220470083601917,0.0392052766267697,0.03053920364777,0.0328346750718475,0.0595555361740249,0.024676518821154,0.03513198750163,0.0392818396815237,0.0318230960742605,0.0284170702967242,0.0338239428699955,0.0377612416729091,0.0413599653406718,0.0349931948898138,0.0284355082917592,0.0427754804936289,0.0378831438423389
"2021-04-05",0.0274279980537278,0.0166560410271389,0.0322151950175573,0.0305310266213716,0.043875490739806,0.0426569534641727,0.0449074888530799,0.0490928990131335,0.0333280880813723,0.0325756752462407,0.0298003267208478,0.0291450265176512,0.0425429739651881,0.0281901197718244,0.0347017650571518,0.0463450883145781,0.0290706099705519,0.021356758429879,0.0492484240548984,0.0409875572090708,0.0486309324433824,0.0360587662328556,0.0419633262580856,0.0164225093540277,0.0335585661782672,0.0349853597905403,0.0342509063426087,0.0267019273593675,0.117354458092794,0.0458739274519554,0.0370913890159766,0.0427152895134018,0.0276651707647578,0.0350569025562766,0.0370945505786175,0.0287606770642197,0.0372171709000189,0.041697253144751,0.0416311982785588,0.0238579612494141,0.0368601310037721,0.0294795814162049,0.0360161921070403,0.0414773579247263,0.0467632419391836,0.0501521096063249,0.036646837326198,0.0249121247716584,0.040426625828775,0.0200967576628768
"2021-04-12",0.0289545822785742,0.0194294733708367,0.0302762467471818,0.0295836539374389,0.0455147520688067,0.0496961711890781,0.0557292612204086,0.0424694747429777,0.0430943922558222,0.0256734413077985,0.0284016579733239,0.0242519185278176,0.0427829276068405,0.0340495014473104,0.0433378820519277,0.0378128788172323,0.028832904542398,0.0171541762701533,0.0436453946658028,0.044259926872878,0.0570063089004818,0.0404554755674262,0.0460449270544678,0.0199207114698965,0.0296685966969009,0.0334382571814006,0.0385884864791683,0.039486480595596,0.0880158435695955,0.0532555915857865,0.038233739726277,0.0483462615995776,0.0296410894066855,0.0221980243400668,0.035041100255549,0.0241859805984921,0.0430012682738428,0.0433310067681399,0.0463196610201625,0.0354484019309112,0.0344384223260205,0.0291256161162604,0.0398243052789438,0.0321737391912831,0.0521881822279469,0.0419926073401198,0.0423756121987666,0.0178955055226287,0.0441615264170111,0.0210156948919945
"2021-04-19",0.0192624904716315,0.0270237630491747,0.0256022449094859,0.0208793769514251,0.049681827290943,0.044360841162404,0.0502009059173523,0.035846050472822,0.0338803575309464,0.0387879605575262,0.0322262910325415,0.019358810537984,0.0343386789848142,0.0233039333941512,0.0307439676094872,0.0267012526223147,0.0217366785541848,0.0129515941104275,0.0657700628143978,0.0469864302055575,0.0503393721821525,0.0336636299491904,0.0287567490094003,0.0153266625997226,0.0304766303558176,0.0199574359027316,0.0363455187070463,0.0283938280972812,0.058677229046397,0.0429015836721593,0.0317484296274555,0.0394690985982173,0.025766822159623,0.0120508102537201,0.0227667154580504,0.0150899206075689,0.0381381284491426,0.0390762918786619,0.0510422492487653,0.0195213605193896,0.0188017194812505,0.0185370599465938,0.0294556513378654,0.0447527740290898,0.0544852001148509,0.0346321318004561,0.0399450645860691,0.00981757236586466,0.0304833873821363,0.0108448490007209
"2021-04-26",0.0134993486860311,0.0129894932552934,0.0215055881660098,0.0135291059842485,0.0353629945578252,0.0275293803115436,0.0379900190592241,0.0345207472813765,0.0235298826861799,0.0143971111977942,0.108992557214453,0.0144657025481503,0.0293371403236084,0.0172229859545732,0.0207828764371197,0.0161306950587011,0.0146404525659717,0.00874901195070179,0.0255926782316649,0.0347249846896223,0.0477201614328186,0.0263869673173232,0.0262827774184771,0.00788327712870595,0.0240206963831505,0.0149556381469691,0.0177787875628371,0.0196007010001209,0.0293386145231985,0.0356939345838674,0.0196491995392231,0.0278335817727016,0.0188840693664761,0.00805683499649616,0.0169536146247785,0.00940234344940698,0.0333290788668948,0.0424748589114441,0.0508081104907435,0.0110427852615099,0.0113981452480492,0.0149404200025938,0.019086997396787,0.0172830134452941,0.0476406642744744,0.0326671056088161,0.0375145169733715,0.00730804789702408,0.0209073669045364,0.0139178167858042
"2021-05-03",0.0109773350101762,0.0111639428518468,0.0142447607069206,0.00990558803827465,0.025547220191126,0.0192042524675443,0.0260888235158564,0.0218541053482064,0.0191744552586313,0.0125466049306977,0.0804398692824764,0.00957259455831668,0.022687324191843,0.0158678832028929,0.0141874987512959,0.0102405195365906,0.0125780546664069,0.00496668800694861,0.0309790035335426,0.0275698267186346,0.039060649973699,0.0176991265680926,0.0238088058275539,0.00917965776226472,0.012607220950953,0.0123965351660741,0.010818532806516,0.0149390958088885,0,0.0237076339859499,0.0169981018370649,0.0249931325528729,0.0128432305706787,0.0066221831876824,0.0125711227095168,0.00761289631136685,0.0307206480959997,0.0293595021509982,0.0281696415875935,0.0131278701980292,0.00751365190037177,0.0114524664992406,0.0148767891896024,0.0175479207277453,0.0478267355558158,0.0230118034584271,0.0309603753897914,0.00657724310732167,0.0141943406160601,0.00494037330739232
"2021-05-10",0.00980856952881438,0.0076027152955847,0.0127507717909545,0.00865382125792769,0.0183089597122848,0.0186718203255577,0.0178069695721258,0.018052360812248,0.018935826654278,0.0121078309548171,0.0518871813504997,0.0069474620261291,0.0171672831988399,0.0138990536868261,0.011192511644265,0.00903522342951716,0.0105156567668422,0.0110672313854966,0.020459546708667,0.0216198670721484,0.0301186005922843,0.0136441931943712,0.0165334100577313,0.00868237425361054,0.0114183785490599,0.00903947270837773,0.0138774553209016,0.0130067516385503,0,0.0220110999959877,0.0113320678913766,0.0188888380475049,0.00860209362106748,0.00668974296815285,0.0103163084022975,0.00676109306115587,0.0282443588384642,0.0212812332780569,0.0177225029148853,0.00999231285241734,0.00624946095987726,0.0117622228550841,0.0107881478186249,0.0117330809216774,0.0448207219244903,0.0210556843720918,0.0233049074146677,0.00935083989513035,0.0106274976664389,0.00660106138118524
"2021-05-17",0.00863980404745255,0.0100321016017098,0.0126317486076078,0.00886228308186243,0.0177613196375122,0.0162549942816404,0.018125934764733,0.0157428705696124,0.0157075912621295,0.0112009113916279,0.0402531320476087,0.00988041125207384,0.0190132812047096,0.0130295826702583,0.00957387397015605,0.00888923176557198,0.0112507911344413,0.00491876950466515,0.0162840834199033,0.0197929368124368,0.0208087873068749,0.0137711070696337,0.0155797948521098,0.00485467539337894,0.0102295361471667,0.00902539107055182,0.00973439713497697,0.0119430012227428,0,0.0183681671482135,0.00566603394568831,0.0162958588354488,0.00871864115773761,0.00550943386228667,0.0126095633680558,0.00660312597062777,0.0224049850326605,0.0202807399086895,0.0185121287668376,0.00923005952742252,0.00774061616257904,0.0133966319247032,0.0148455578349289,0.0126077747788274,0.0326105961178473,0.015447770872198,0.0219835537550814,0.0122975073359625,0.0104393349728977,0.00606950222785822
"2021-05-24",0.00963257465669751,0.0140834192278203,0.0150171715738474,0.0106547892112376,0.0204627531952383,0.0213970620999005,0.023964824462354,0.0200753547195634,0.0192809950602618,0.0100385535561489,0.0286190827447178,0.00920142033014322,0.0234675294241769,0.0141353310610087,0.0158676598793189,0.0121449842522736,0.0166290449521635,0.0109724736264766,0.0257751266899754,0.0202521233634616,0.0223373377929607,0.0175445661027964,0.0206483590049054,0.00738970721040832,0.0134222824107057,0.014489066547004,0.012653782570107,0.0167645762314825,0,0.0218802505996982,0,0.0218349561371249,0.0119283660920774,0.00878012205800338,0.0162490975220672,0.00826101852202231,0.024477495375047,0.0209445573340454,0.0238101106234537,0.0120323635570464,0.0105390855155947,0.0117177201638463,0.0141506844306365,0.019287624331484,0.0277541356748372,0.0222259592477368,0.0270145618647523,0.0153692322809149,0.0166892576457634,0.00966360643777197
